ph_range;tds_range;temp_range;ph_range_result;tds_range_result;temp_range_result
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Tinggi;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal
