time;water_temp;tds;ph;ph_range;tds_range;temp_range;ph_range_result;tds_range_result;temp_range_result;normal
04:30:06;26.3125;1341.61816;6.93194;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:32:05;26.3125;1348.20923;6.92839;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:34:07;26.30938;1347.81873;6.92907;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:36:05;10.975;2099.02783;6.9274;Optimal;Optimal;Dingin;Optimal;Tinggi;Dingin;0
04:38:05;18.61875;1266.40393;6.92659;Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;0
04:40:05;18.59687;1656.94666;6.9269;Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;0
04:42:05;26.275;1547.40381;6.92816;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:44:05;26.25;1371.9718;6.92677;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:46:05;26.25625;1238.29846;6.92743;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:48:05;18.5875;1414.13025;6.92669;Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;0
04:50:05;26.25;1371.92041;6.92921;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:52:05;26.25;1247.85181;6.92778;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:54:05;26.24063;1246.29126;6.92716;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:56:05;26.24688;1249.84021;6.9261;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
04:58:05;26.25;1244.28821;6.92794;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:00:05;18.56875;1428.38025;6.927;Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;0
05:02:05;26.25;1242.58521;6.92961;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:04:05;26.25;1265.32678;6.92776;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:06:05;26.25;1312.16931;6.92877;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:08:05;26.24063;1246.34888;6.92858;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:10:05;26.2125;1237.82166;6.92759;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:12:05;26.23125;1222.3186;6.92832;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:14:05;26.25;1332.7052;6.92683;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:16:05;26.20938;1254.9856;6.926;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:18:05;26.20938;1282.89905;6.928;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
05:20:05;18.52813;1335.98328;6.92633;Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;0
05:22:05;26.20312;1348.58118;6.92635;Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;1
