ph_range;tds_range;temp_range;ph_range_result;tds_range_result;temp_range_result;normal;raw_normal
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Tinggi;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Dingin;Optimal;Optimal;Dingin;1;1
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
Optimal;Optimal;Optimal;Optimal;Optimal;Optimal;2;2
